feature,importance,gain
duration_per_event,0.21404808151199706,7544.896231293678
view_rate_before_cart,0.13285512448193473,4682.957777202129
first_cart_price,0.1266734127711873,4465.061064183712
session_duration_before_cart_minutes,0.12271587214568595,4325.563278734684
avg_pre_cart_price,0.08340941141116542,2940.0653786063194
max_pre_cart_price,0.05842679840823322,2059.463126242161
cart_hour,0.0570068920798234,2009.4134092330933
first_price_to_avg_pre_price,0.030912121368364263,1089.6091493368149
price_gap_first_minus_avg,0.02942757423540832,1037.2809341549873
unique_products_per_event,0.024370486560382466,859.0256493091583
first_price_to_max_pre_price,0.021283056526676163,750.1980482339859
same_product_view_share,0.01926662835362726,679.1217684745789
cart_weekday,0.017227834863264995,607.2571424841881
same_category_view_share,0.011502411073699542,405.4439420700073
unique_categories_per_event,0.011007461222804774,387.99765038490295
pre_cart_unique_products,0.010578905880463337,372.8916724920273
first_cart_category_view_count_before_cart,0.008434256402928955,297.2957706451416
first_cart_product_view_count_before_cart,0.0063759837207327955,224.74453032016754
pre_cart_unique_brands,0.005164670163428601,182.0474174618721
pre_cart_events,0.004672825188108747,164.71056830883026
pre_cart_views,0.002707225468183183,95.42592060565948
pre_cart_unique_categories,0.0019329661618995,68.13436031341553
same_product_viewed_before_cart,0.0,0.0
same_category_viewed_before_cart,0.0,0.0
